property_name,enhanced_predicted_price_band,borough,final_grade,final_evidence,final_status
Detached,250k-500k,Barking_and_Dagenham,B,Medium,Generally reliable
Detached,250k-500k,Barnet,B,Medium,Generally reliable
Detached,250k-500k,Bexley,B,Medium,Generally reliable
Detached,250k-500k,Brent,B,Medium,Generally reliable
Detached,250k-500k,Bromley,B,Medium,Generally reliable
Detached,250k-500k,Croydon,B,Medium,Generally reliable
Detached,250k-500k,Ealing,B,Medium,Generally reliable
Detached,250k-500k,Enfield,B,Medium,Generally reliable
Detached,250k-500k,Greenwich,B,Medium,Generally reliable
Detached,250k-500k,Harrow,B,Medium,Generally reliable
Detached,250k-500k,Havering,B,Low,Limited confidence
Detached,250k-500k,Hillingdon,B,Medium,Generally reliable
Detached,250k-500k,Hounslow,B,Medium,Generally reliable
Detached,250k-500k,Kingston_upon_Thames,B,Medium,Generally reliable
Detached,250k-500k,Lewisham,B,Medium,Generally reliable
Detached,250k-500k,Merton,B,Medium,Generally reliable
Detached,250k-500k,Newham,B,Medium,Generally reliable
Detached,250k-500k,Redbridge,B,Medium,Generally reliable
Detached,250k-500k,Richmond_upon_Thames,B,Medium,Generally reliable
Detached,250k-500k,Southwark,B,Medium,Generally reliable
Detached,250k-500k,Sutton,B,Medium,Generally reliable
Detached,250k-500k,Waltham_Forest,B,Medium,Generally reliable
Detached,500k-750k,Barking_and_Dagenham,B,High,Generally reliable
Detached,500k-750k,Barnet,B,High,Generally reliable
Detached,500k-750k,Bexley,B,Low,Limited confidence
Detached,500k-750k,Brent,B,High,Generally reliable
Detached,500k-750k,Bromley,B,Medium,Generally reliable
Detached,500k-750k,Croydon,B,Medium,Generally reliable
Detached,500k-750k,Ealing,B,High,Generally reliable
Detached,500k-750k,Enfield,B,High,Generally reliable
Detached,500k-750k,Greenwich,B,High,Generally reliable
Detached,500k-750k,Hackney,B,High,Generally reliable
Detached,500k-750k,Haringey,B,High,Generally reliable
Detached,500k-750k,Harrow,B,High,Generally reliable
Detached,500k-750k,Havering,B,Medium,Generally reliable
Detached,500k-750k,Hillingdon,B,Medium,Generally reliable
Detached,500k-750k,Hounslow,B,High,Generally reliable
Detached,500k-750k,Kingston_upon_Thames,B,High,Generally reliable
Detached,500k-750k,Lambeth,B,High,Generally reliable
Detached,500k-750k,Lewisham,B,High,Generally reliable
Detached,500k-750k,Merton,B,High,Generally reliable
Detached,500k-750k,Newham,B,High,Generally reliable
Detached,500k-750k,Redbridge,B,High,Generally reliable
Detached,500k-750k,Richmond_upon_Thames,B,High,Generally reliable
Detached,500k-750k,Southwark,B,High,Generally reliable
